department,salary,averageMonthlyHours,projectCount,satisfaction,evaluation,yearsAtCompany,workAccident,turnover
3,2,282,2,36.0,55.0,3,0,1
3,2,288,2,40.0,46.0,3,0,1
3,2,271,6,9.0,85.0,4,0,1
3,2,278,2,40.0,46.0,3,0,1
9,2,266,2,37.0,55.0,3,0,1
9,0,259,2,44.0,51.0,3,0,1
9,1,269,7,9.0,80.0,5,0,1
9,2,280,4,92.0,87.0,6,1,1
9,2,259,4,74.0,91.0,5,0,1
9,2,266,6,9.0,82.0,4,0,1
9,2,283,4,89.0,95.0,5,0,1
9,1,273,6,9.0,80.0,4,0,1
9,1,294,7,27.0,54.0,3,0,1
9,1,261,6,10.0,91.0,4,0,1
9,1,284,7,10.0,89.0,4,0,1
8,1,261,5,77.0,94.0,6,0,1
8,1,262,5,90.0,82.0,5,0,1
8,1,262,2,39.0,50.0,3,0,1
8,1,265,5,76.0,100.0,5,0,1
8,1,280,6,10.0,93.0,4,0,1
8,1,280,5,87.0,90.0,6,0,1
8,1,277,2,38.0,50.0,3,0,1
8,1,285,5,77.0,99.0,5,0,1
8,1,281,4,78.0,87.0,5,0,1
8,1,277,2,44.0,50.0,3,0,1
8,1,275,2,38.0,52.0,3,0,1
9,1,286,2,43.0,46.0,3,0,1
9,1,266,4,39.0,50.0,3,0,1
9,1,263,5,88.0,100.0,5,0,1
4,1,267,2,45.0,46.0,3,0,1
0,1,268,2,40.0,53.0,3,0,1
0,1,280,2,36.0,51.0,3,0,1
0,1,276,2,36.0,48.0,3,0,1
0,1,275,5,90.0,98.0,5,0,1
0,1,275,2,43.0,53.0,3,0,1
6,1,285,5,89.0,87.0,5,0,1
6,1,280,6,10.0,84.0,4,0,1
6,1,260,2,37.0,50.0,3,0,1
6,1,263,2,37.0,51.0,3,0,1
0,1,267,5,87.0,90.0,5,0,1
2,1,266,2,40.0,56.0,3,0,1
2,1,282,4,90.0,97.0,5,0,1
3,1,266,2,37.0,46.0,3,0,1
3,1,289,2,44.0,54.0,3,0,1
3,1,281,5,85.0,95.0,5,0,1
5,1,252,5,78.0,98.0,6,0,1
5,1,282,2,42.0,47.0,3,0,1
7,1,279,5,92.0,99.0,6,0,1
2,1,282,6,11.0,83.0,4,0,1
8,1,289,2,42.0,56.0,3,0,1
9,1,275,4,48.0,57.0,4,0,1
4,1,274,4,83.0,85.0,5,0,1
5,1,300,2,40.0,53.0,3,0,1
5,1,279,2,43.0,45.0,3,0,1
5,1,279,2,43.0,53.0,3,0,1
7,1,267,7,10.0,97.0,4,0,1
7,1,280,7,10.0,87.0,4,0,1
7,1,277,2,37.0,46.0,3,0,1
7,1,289,2,38.0,53.0,3,0,1
7,1,274,2,40.0,50.0,3,0,1
7,1,292,5,89.0,86.0,5,0,1
7,1,280,2,45.0,46.0,3,0,1
7,1,277,2,37.0,48.0,3,0,1
7,1,276,2,46.0,49.0,3,0,1
7,1,284,4,87.0,91.0,5,0,1
7,1,279,6,11.0,84.0,4,0,1
7,1,273,5,79.0,87.0,5,0,1
7,1,261,5,79.0,92.0,6,0,1
7,1,271,7,19.0,59.0,3,0,1
7,1,269,4,87.0,98.0,5,0,1
7,1,288,2,60.0,92.0,5,0,1
7,2,263,2,44.0,45.0,3,0,1
7,2,287,6,11.0,81.0,4,1,1
7,2,285,2,42.0,54.0,3,0,1
2,2,279,5,88.0,88.0,5,1,1
2,2,291,6,11.0,84.0,4,0,1
2,2,272,2,46.0,46.0,3,0,1
3,2,272,5,82.0,97.0,5,0,1
3,2,266,2,44.0,56.0,3,0,1
3,2,278,6,11.0,78.0,4,0,1
3,2,281,2,42.0,50.0,3,0,1
9,2,269,4,84.0,93.0,5,0,1
9,2,284,6,11.0,95.0,4,0,1
9,0,275,2,45.0,53.0,3,0,1
9,1,272,2,38.0,56.0,3,0,1
9,2,278,6,38.0,86.0,6,0,1
9,2,273,2,44.0,51.0,3,0,1
9,2,272,6,11.0,84.0,4,0,1
9,2,278,5,81.0,93.0,5,0,1
9,1,262,6,9.0,96.0,4,0,1
9,1,269,6,11.0,90.0,4,0,1
9,1,268,5,81.0,95.0,6,0,1
8,1,282,6,10.0,97.0,4,1,1
8,1,274,5,74.0,89.0,6,0,1
8,1,265,6,9.0,78.0,4,0,1
8,1,271,4,82.0,81.0,4,1,1
8,1,268,6,10.0,98.0,4,0,1
8,1,271,3,27.0,56.0,3,0,1
8,1,280,5,83.0,92.0,6,0,1
8,1,276,6,10.0,93.0,4,1,1
8,1,272,2,38.0,47.0,3,0,1
8,1,266,2,40.0,56.0,3,0,1
8,1,284,6,11.0,83.0,4,0,1
9,1,274,6,11.0,79.0,4,0,1
9,1,258,5,82.0,91.0,5,0,1
9,1,290,2,36.0,48.0,3,0,1
4,1,277,2,40.0,46.0,3,0,1
0,1,271,5,87.0,84.0,5,0,1
0,1,275,2,41.0,49.0,3,0,1
0,1,280,6,11.0,91.0,4,1,1
0,2,281,6,10.0,93.0,4,0,1
0,2,272,2,38.0,51.0,3,0,1
6,2,269,2,39.0,55.0,3,0,1
6,2,286,2,40.0,52.0,3,0,1
6,2,263,2,45.0,48.0,3,0,1
6,2,284,5,74.0,84.0,5,0,1
0,2,266,2,45.0,55.0,3,0,1
1,2,289,3,12.0,100.0,4,0,1
1,2,279,7,10.0,77.0,5,0,1
1,2,283,2,37.0,55.0,3,0,1
1,2,263,5,89.0,87.0,5,0,1
1,2,267,2,45.0,47.0,3,0,1
5,0,278,2,37.0,46.0,3,0,1
7,1,258,5,11.0,81.0,4,0,1
2,2,264,2,41.0,48.0,3,0,1
8,2,269,6,10.0,94.0,4,0,1
9,2,279,7,10.0,93.0,4,0,1
4,2,281,7,11.0,95.0,4,0,1
5,1,283,2,40.0,54.0,3,0,1
5,1,291,2,41.0,49.0,3,0,1
5,1,284,6,10.0,81.0,4,0,1
7,1,297,4,73.0,86.0,6,0,1
7,1,277,2,43.0,47.0,3,0,1
7,1,295,2,37.0,46.0,3,0,1
7,1,272,6,11.0,94.0,4,0,1
7,1,269,2,40.0,46.0,3,0,1
7,1,273,2,41.0,54.0,3,1,1
7,1,267,5,82.0,84.0,5,0,1
7,1,276,2,61.0,47.0,3,0,1
7,1,274,7,11.0,91.0,4,0,1
7,1,278,2,37.0,45.0,3,0,1
7,1,288,2,41.0,52.0,3,0,1
7,1,277,2,37.0,52.0,3,0,1
7,1,273,5,88.0,99.0,6,0,1
7,1,256,6,10.0,85.0,4,0,1
7,1,295,2,44.0,48.0,3,0,1
7,1,285,2,38.0,57.0,3,0,1
7,1,278,7,11.0,85.0,4,0,1
7,1,277,6,9.0,98.0,4,0,1
7,2,268,2,45.0,52.0,3,0,1
2,2,278,6,10.0,81.0,4,0,1
2,2,284,2,45.0,47.0,3,0,1
2,2,278,5,77.0,87.0,5,0,1
3,2,274,2,44.0,51.0,3,0,1
3,2,278,2,39.0,50.0,3,0,1
3,2,276,6,10.0,91.0,4,0,1
3,2,270,7,9.0,89.0,5,0,1
9,2,273,2,37.0,47.0,3,0,1
9,2,272,5,90.0,100.0,5,0,1
9,2,281,2,41.0,56.0,3,0,1
9,2,283,2,37.0,52.0,3,0,1
9,0,277,6,10.0,86.0,4,0,1
9,1,286,4,81.0,100.0,5,0,1
9,2,289,6,11.0,80.0,4,0,1
9,2,272,7,11.0,84.0,4,0,1
9,2,269,2,40.0,46.0,3,0,1
9,2,274,6,9.0,80.0,5,0,1
9,1,272,3,48.0,93.0,6,0,1
8,1,281,4,91.0,91.0,6,0,1
8,1,272,2,43.0,57.0,3,0,1
8,1,297,6,33.0,88.0,5,0,1
8,1,272,2,41.0,57.0,3,0,1
8,1,263,2,41.0,55.0,3,0,1
8,1,297,2,37.0,54.0,3,0,1
8,1,284,6,31.0,62.0,5,0,1
8,1,270,6,9.0,91.0,4,0,1
8,1,270,6,10.0,87.0,4,0,1
8,1,277,4,76.0,90.0,5,0,1
8,1,267,2,41.0,54.0,3,0,1
9,1,273,5,72.0,96.0,5,0,1
9,1,286,2,40.0,50.0,3,1,1
9,1,274,4,91.0,87.0,5,0,1
4,1,281,6,10.0,83.0,4,0,1
0,1,275,2,40.0,56.0,3,0,1
0,1,281,5,82.0,86.0,5,0,1
0,1,261,6,10.0,82.0,4,0,1
0,1,262,2,37.0,45.0,3,0,1
0,1,252,2,36.0,51.0,3,0,1
6,2,289,2,39.0,48.0,3,0,1
6,2,264,2,36.0,57.0,3,0,1
6,2,282,5,86.0,84.0,5,0,1
6,2,282,5,73.0,99.0,5,0,1
0,2,287,4,56.0,71.0,2,0,1
2,2,290,2,44.0,56.0,3,0,1
2,2,275,4,31.0,56.0,2,0,1
3,2,279,4,77.0,93.0,5,0,1
3,2,284,2,44.0,45.0,3,0,1
3,2,264,2,38.0,46.0,3,0,1
5,2,292,2,45.0,48.0,3,0,1
7,2,277,2,38.0,51.0,3,0,1
2,0,271,2,36.0,48.0,3,0,1
8,1,245,5,75.0,90.0,5,0,1
9,2,271,6,10.0,93.0,4,0,1
4,2,264,6,10.0,97.0,4,0,1
5,2,255,2,45.0,50.0,3,0,1
5,2,280,2,42.0,57.0,3,1,1
5,1,260,4,78.0,100.0,5,0,1
7,1,262,2,45.0,55.0,3,0,1
7,1,280,4,84.0,100.0,5,0,1
7,1,274,6,11.0,93.0,4,0,1
7,1,260,2,42.0,56.0,3,0,1
7,1,266,2,45.0,46.0,3,0,1
7,1,284,2,46.0,57.0,3,0,1
7,1,269,6,9.0,79.0,5,0,1
7,1,285,4,87.0,83.0,6,0,1
7,1,264,6,10.0,87.0,4,0,1
7,1,261,5,91.0,100.0,6,0,1
7,1,271,4,76.0,92.0,5,0,1
7,1,272,5,74.0,100.0,5,0,1
7,1,269,5,92.0,93.0,5,0,1
7,1,267,5,76.0,87.0,5,0,1
7,1,279,4,47.0,50.0,4,0,1
7,1,279,5,73.0,99.0,5,0,1
7,1,274,6,9.0,94.0,4,0,1
7,1,279,4,91.0,92.0,5,0,1
7,1,290,4,82.0,98.0,5,0,1
2,1,271,6,28.0,45.0,4,0,1
2,2,271,4,84.0,99.0,6,0,1
2,2,242,2,45.0,53.0,3,0,1
3,2,280,2,45.0,54.0,3,0,1
3,2,275,5,91.0,97.0,5,0,1
3,2,276,2,42.0,48.0,3,0,1
3,2,278,4,82.0,100.0,6,0,1
9,2,260,6,11.0,90.0,4,0,1
9,2,283,3,42.0,53.0,4,0,1
9,2,263,4,82.0,85.0,5,0,1
9,2,288,6,9.0,96.0,4,0,1
9,2,276,6,10.0,94.0,4,0,1
9,2,277,5,86.0,100.0,5,0,1
9,0,269,2,40.0,46.0,3,0,1
9,1,270,2,45.0,46.0,3,0,1
9,2,272,2,42.0,51.0,3,0,1
9,2,269,4,74.0,92.0,5,0,1
9,2,275,3,55.0,60.0,4,0,1
8,2,289,2,37.0,45.0,3,0,1
8,1,278,2,41.0,52.0,3,1,1
8,1,273,5,89.0,65.0,6,0,1
8,1,291,2,41.0,57.0,3,0,1
8,1,270,2,44.0,51.0,3,0,1
8,1,271,4,87.0,84.0,6,0,1
8,1,257,6,10.0,84.0,4,0,1
8,1,251,2,41.0,47.0,3,0,1
8,1,279,6,11.0,85.0,4,0,1
8,1,282,2,43.0,53.0,3,0,1
8,1,261,4,77.0,90.0,5,0,1
9,1,287,2,41.0,52.0,3,0,1
9,1,261,2,41.0,48.0,3,0,1
9,1,277,2,36.0,78.0,4,0,1
4,1,265,5,77.0,100.0,5,0,1
0,1,279,5,81.0,98.0,5,0,1
0,1,266,2,39.0,54.0,3,0,1
0,1,268,6,9.0,94.0,5,0,1
0,1,265,2,44.0,46.0,3,0,1
0,1,283,5,10.0,84.0,4,0,1
6,1,273,2,36.0,48.0,3,0,1
6,1,278,5,81.0,92.0,5,0,1
6,2,278,4,81.0,90.0,5,0,1
6,2,272,5,85.0,98.0,5,0,1
0,2,289,6,10.0,87.0,4,0,1
1,2,276,2,37.0,54.0,3,0,1
1,2,281,7,9.0,97.0,4,1,1
1,2,291,2,44.0,53.0,3,0,1
1,2,279,5,86.0,93.0,5,0,1
1,2,270,4,77.0,100.0,5,0,1
5,2,262,2,41.0,48.0,3,0,1
7,2,286,2,40.0,48.0,3,0,1
2,2,274,2,43.0,49.0,3,0,1
8,2,278,2,43.0,50.0,3,0,1
9,0,294,3,80.0,53.0,5,0,1
4,1,273,4,80.0,85.0,5,0,1
5,2,276,5,82.0,98.0,5,0,1
5,2,271,2,37.0,54.0,3,0,1
5,2,284,2,37.0,48.0,3,0,1
7,2,276,6,9.0,95.0,4,0,1
7,1,279,5,90.0,92.0,5,0,1
7,1,280,2,41.0,52.0,3,0,1
7,1,267,6,10.0,85.0,4,0,1
7,1,284,2,44.0,53.0,3,0,1
7,1,275,5,89.0,85.0,5,0,1
7,1,277,2,42.0,56.0,3,0,1
7,1,276,5,87.0,100.0,5,0,1
7,1,279,2,45.0,57.0,3,0,1
7,1,285,5,11.0,87.0,4,0,1
7,1,277,6,9.0,79.0,4,0,1
7,1,282,5,76.0,83.0,5,0,1
7,1,268,7,11.0,96.0,5,0,1
7,1,296,2,37.0,49.0,3,0,1
7,1,269,6,10.0,79.0,4,0,1
7,1,264,4,77.0,87.0,6,0,1
7,1,300,2,42.0,54.0,3,1,1
7,1,262,2,38.0,52.0,3,0,1
7,1,274,5,32.0,95.0,2,0,1
2,1,288,2,38.0,49.0,3,0,1
2,1,273,4,19.0,100.0,4,0,1
2,1,277,7,10.0,83.0,4,0,1
3,2,268,4,76.0,88.0,4,0,1
3,2,265,4,53.0,56.0,6,0,1
3,2,272,2,39.0,51.0,3,0,1
3,2,264,6,11.0,83.0,4,0,1
9,2,293,6,10.0,94.0,4,0,1
9,2,276,5,84.0,100.0,5,0,1
9,2,264,4,82.0,99.0,6,0,1
9,2,282,6,10.0,82.0,4,0,1
9,2,283,7,59.0,49.0,4,0,1
9,2,266,2,44.0,48.0,3,0,1
9,2,272,2,89.0,95.0,5,0,1
9,2,288,5,91.0,84.0,5,0,1
9,0,262,5,66.0,57.0,5,0,1
9,1,279,7,11.0,87.0,5,0,1
9,2,275,2,43.0,51.0,3,0,1
8,2,285,4,78.0,83.0,6,0,1
8,2,284,6,11.0,97.0,5,0,1
8,2,267,4,83.0,98.0,5,0,1
8,1,279,2,39.0,54.0,3,0,1
8,1,280,2,38.0,55.0,3,0,1
8,1,269,2,37.0,57.0,3,0,1
8,1,274,2,44.0,48.0,3,0,1
8,1,279,2,53.0,85.0,5,0,1
8,1,290,6,9.0,96.0,4,0,1
8,1,285,6,11.0,89.0,4,0,1
8,1,254,5,83.0,96.0,5,0,1
9,1,277,5,88.0,100.0,6,1,1
9,1,283,6,10.0,89.0,4,0,1
9,1,263,7,9.0,86.0,4,0,1
4,1,292,2,44.0,54.0,3,0,1
0,1,282,2,39.0,51.0,3,0,1
0,1,247,4,87.0,94.0,5,0,1
0,1,279,4,74.0,99.0,5,0,1
0,1,265,7,10.0,95.0,4,0,1
0,1,256,4,74.0,82.0,6,0,1
6,1,267,5,75.0,99.0,5,0,1
6,1,248,2,41.0,56.0,3,0,1
6,1,277,2,41.0,45.0,3,1,1
6,1,272,7,9.0,90.0,4,0,1
0,2,271,6,9.0,80.0,5,0,1
2,2,296,2,39.0,57.0,3,0,1
2,2,269,2,40.0,56.0,3,0,1
3,2,273,2,37.0,54.0,3,1,1
3,2,271,6,10.0,84.0,4,0,1
3,2,270,2,43.0,51.0,3,0,1
5,2,254,5,75.0,85.0,6,1,1
7,2,266,2,37.0,56.0,3,0,1
2,2,266,6,11.0,85.0,4,0,1
8,2,278,2,45.0,45.0,3,1,1
9,2,276,5,87.0,100.0,5,1,1
4,2,272,7,11.0,94.0,4,0,1
5,0,285,2,45.0,54.0,3,0,1
5,1,266,4,81.0,87.0,5,0,1
5,2,282,5,77.0,91.0,5,0,1
7,2,260,5,89.0,92.0,5,0,1
7,2,281,2,43.0,49.0,3,0,1
7,2,267,5,78.0,100.0,5,0,1
7,1,288,2,37.0,47.0,3,0,1
7,1,272,2,37.0,50.0,3,0,1
7,1,242,4,85.0,82.0,5,0,1
7,1,275,2,41.0,47.0,3,0,1
7,1,274,6,11.0,96.0,4,0,1
7,1,280,5,75.0,99.0,5,0,1
7,1,274,5,82.0,85.0,5,0,1
7,1,267,5,79.0,100.0,6,0,1
7,1,267,2,43.0,53.0,3,0,1
7,1,273,7,10.0,90.0,4,0,1
7,1,283,2,46.0,48.0,3,1,1
7,1,295,2,43.0,57.0,3,0,1
7,1,276,2,43.0,55.0,3,0,1
7,1,271,7,11.0,80.0,4,0,1
7,1,278,6,9.0,86.0,4,0,1
7,1,271,2,37.0,53.0,3,0,1
2,1,276,2,40.0,57.0,3,0,1
2,1,268,7,10.0,77.0,4,0,1
2,1,281,2,41.0,53.0,3,0,1
3,1,262,3,79.0,58.0,4,0,1
3,1,272,7,11.0,79.0,4,0,1
3,2,269,6,10.0,97.0,4,0,1
3,2,281,2,44.0,51.0,3,0,1
9,2,271,4,25.0,46.0,4,0,1
9,2,273,2,44.0,52.0,3,0,1
9,2,270,4,73.0,100.0,5,0,1
9,2,269,5,75.0,97.0,6,0,1
9,2,296,2,36.0,47.0,3,0,1
9,2,288,2,37.0,49.0,3,0,1
9,2,283,2,39.0,49.0,3,0,1
9,2,258,2,48.0,78.0,2,0,1
9,2,275,4,57.0,72.0,6,0,1
9,2,295,5,90.0,96.0,5,0,1
9,0,292,2,39.0,55.0,3,0,1
8,1,269,2,44.0,51.0,3,0,1
8,2,277,5,81.0,88.0,5,0,1
8,2,287,5,74.0,87.0,5,0,1
8,2,289,2,44.0,56.0,3,0,1
8,2,276,2,41.0,56.0,3,0,1
8,1,281,2,40.0,51.0,3,0,1
8,1,275,2,46.0,57.0,3,0,1
8,1,274,2,80.0,83.0,3,0,1
8,1,292,5,87.0,90.0,5,0,1
8,1,282,2,39.0,54.0,3,0,1
8,1,287,2,38.0,55.0,3,0,1
9,1,278,2,66.0,67.0,3,0,1
9,1,290,6,10.0,80.0,4,0,1
9,1,280,2,37.0,54.0,3,0,1
4,1,264,6,10.0,77.0,4,0,1
0,1,267,5,9.0,87.0,4,0,1
0,1,277,5,86.0,84.0,5,0,1
0,1,251,6,11.0,90.0,4,0,1
0,1,270,2,37.0,46.0,3,0,1
0,1,270,7,11.0,92.0,4,0,1
6,1,271,5,77.0,98.0,6,0,1
6,1,274,5,84.0,94.0,6,0,1
6,1,268,7,10.0,84.0,4,0,1
6,1,266,5,83.0,90.0,5,0,1
0,1,289,6,11.0,79.0,4,0,1
1,1,264,5,86.0,92.0,5,0,1
1,2,277,2,38.0,56.0,3,0,1
1,2,270,5,11.0,88.0,4,0,1
1,2,281,2,45.0,49.0,3,0,1
1,2,265,7,10.0,85.0,4,0,1
5,2,273,7,9.0,95.0,4,0,1
7,2,275,2,39.0,53.0,3,0,1
2,2,283,2,37.0,47.0,3,1,1
8,2,259,5,81.0,97.0,5,0,1
9,2,291,7,9.0,90.0,4,0,1
4,2,275,7,10.0,88.0,4,0,1
5,2,263,2,39.0,49.0,3,0,1
5,2,283,4,83.0,95.0,5,0,1
5,0,263,2,45.0,57.0,3,0,1
7,1,276,2,43.0,51.0,3,0,1
7,2,282,3,80.0,75.0,2,0,1
7,2,265,6,10.0,86.0,4,0,1
7,2,271,2,10.0,55.0,4,0,1
7,2,276,2,36.0,52.0,3,0,1
7,1,275,2,38.0,50.0,3,0,1
7,1,274,5,78.0,98.0,6,0,1
7,1,276,2,44.0,49.0,3,0,1
7,1,284,2,41.0,46.0,3,1,1
7,1,286,5,72.0,85.0,6,0,1
7,1,292,2,46.0,54.0,3,0,1
7,1,262,7,10.0,90.0,4,0,1
